Composite Element REF,Gene_Symbol,Chromosome,Genomic_Coordinate
cg23621689,C6orf25,6,31691685
cg23621817,CHRNA9,4,40337853
cg23625458,AKR7L,1,19600141
cg23626798,L3MBTL,20,42142494
cg23627134,ARHGAP15,2,143886375
cg23628240,LCOR,10,98591602
cg23629183,MINA,3,97691400
cg23629496,LRRN4,20,6034446
cg23631636,RPL37A,2,217363620
cg23632840,C20orf94;MKKS,20,10414722
cg23637791,ODF3L1,15,76016262
cg23637943,PSMA5,1,109969159
cg23639989,FAM105A,5,14581642
cg23640092,ZNRF2,7,30323845
cg23640701,ACVRL1,12,52301634
cg23640903,GFOD1;C6orf114,6,13487662
cg23641145,PGR,11,101000566
cg23641264,JRK,8,143748641
cg23641267,LPXN,11,58343791
cg23642747,INA,10,105036645
cg23643330,JAG1,20,10654420
cg23644127,C8orf38,8,96037660
cg23644213,PIGO,9,35096058
cg23645091,KRT5,12,52914409
cg23651356,RGS17,6,153452954
cg23651728,BFSP1,20,17511410
cg23652526,HNRNPUL1,19,41768502
cg23652939,TMEM222,1,27649000
cg23653008,CHFR,12,133464419
cg23653187,PNPLA3,22,44319257
cg23653712,SGCB,4,52904379
cg23654219,TCF19,6,31127527
cg23654545,PRR3;GNL1,6,30525120
cg23655719,CCL19,9,34692578
cg23656380,ADRM1,20,60877581
cg23656386,SLC12A4,16,68003240
cg23657252,BMP2K,4,79697583
cg23657409,PLCB1,20,8112754
cg23660191,ZNF688,16,30582942
cg23660999,PDDC1,11,777775
cg23661676,,19,35861862
cg23662675,ZMYND8,20,45985596
cg23663332,MAK16,8,33341954
cg23663476,LAT,16,28996449
cg23665568,BCL10,1,85745053
cg23665603,SEC14L2,22,30792674
cg23667407,RNF181,2,85822980
cg23667432,ALPP,2,233244439
cg23667933,FXN,9,71650719
cg23668257,ZKSCAN5,7,99102081
cg23668631,CAMKK1,17,3796936
cg23670203,STK38,6,36515856
cg23671708,TMEM88,17,7758291
cg23673107,ZNF491,19,11908712
cg23674788,KRT32,17,39623313
cg23674882,LOXL3,2,74780272
cg23679085,AP2M1,3,183892773
cg23679141,MARCH1;ANP32C,4,165118930
cg23679724,CTSZ,20,57581478
cg23680518,SBSN,19,36020232
cg23680936,ADO,10,64564801
cg23681213,PNMA1,14,74180391
cg23681243,UBE3A,15,25684088
cg23683201,SLC22A9,11,63137152
cg23684521,NPTN,15,73926058
cg23685580,CATSPER2,15,43940867
cg23686014,TFPI2,7,93519924
cg23687186,IPO9,1,201798214
cg23687319,GGPS1;ARID4B,1,235492074
cg23687960,GGH,8,63951868
cg23689916,SUGT1P1;BAG1;CHMP5,9,33263879
cg23690380,PRMT5,14,23398654
cg23692497,INTS4,11,77706182
cg23694248,PTPRR,12,71314315
cg23695504,C1orf229,1,247275344
cg23696618,SERPINB10,18,61583699
cg23696712,KRT79,12,53228141
cg23696834,GNMT,6,42928345
cg23696886,PDLIM2,8,22437193
cg23696949,LAMC2,1,183155644
cg23698058,PRKACB,1,84544097
cg23698287,HDAC1,1,32758300
cg23698956,FAM3A,X,153744915
cg23698969,SLC22A18,11,2931165
cg23699324,CTNNA2,2,79740308
cg23700778,KIAA0895,7,36406715
cg23702568,WAPAL,10,88281502
cg23704082,TRIM59,3,160167518
cg23704362,C8orf46,8,67405742
cg23704703,LCA5L,21,40816035
cg23705973,HIST1H1D,6,26235061
cg23706211,CELSR2,1,109792854
cg23706422,PAPSS2,10,89420014
cg23707493,TNKS2,10,93557971
cg23707905,RNPC3;AMY2B,1,104096621
cg23709121,C14orf149;JKAMP,14,59951523
cg23709838,SLC35A2,X,48768883
cg23710218,MSC,8,72756656
cg23713520,PLLP,16,57318087
cg23713742,SPAG4,20,34202721
cg23717696,ITGB1BP2;BCYRN1,X,70521196
cg23719124,GSTM5,1,110254919
cg23719367,LONRF1,8,12594834
cg23721140,ZNF514,2,95825033
cg23722792,SCN4A,17,62050468
cg23723933,AKAP9,7,91569823
cg23724447,BUB3,10,124913897
cg23727043,ADAMTS7,15,79104124
cg23727583,FDXR,17,72869061
cg23731764,EXOSC10,1,11159769
cg23732024,LY96,8,74903801
cg23732182,C21orf84,21,44898090
cg23733753,CYP46A1,14,100151063
cg23735442,SMG7,1,183441292
cg23737055,ANKRD46,8,101572127
cg23737768,KRT24,17,38860097
cg23738770,NFKB2,10,104154605
cg23739036,PEX10,1,2343736
cg23739862,PRMT8,12,3600666
cg23740844,ATP5L,11,118272104
cg23741330,FAM26E;BET3L,6,116832940
cg23743114,CCL15;CCL14-CCL15,17,34328396
cg23744433,MIER1;WDR78,1,67390759
cg23746359,FAM19A3,1,113261764
cg23748737,SCARF2,22,20791733
cg23749046,GPR61,1,110082924
cg23749163,KIAA1737,14,77563968
cg23749760,ZNF467,7,149471044
cg23750142,CA8,8,61193876
cg23750556,SRPX,X,38079717
cg23751724,MACROD2,20,13976403
cg23751922,CREG1,1,167523443
cg23752923,MCOLN3,1,85513892
cg23752985,VAMP8,2,85803571
cg23753610,DNAH17,17,76567830
cg23756219,DRP2,X,100475124
cg23756272,BCL2,18,60904418
cg23758485,SMPD3,16,68482202
cg23759214,MRE11A;ANKRD49,11,94226925
cg23759710,OXER1,2,42990957
cg23760945,ELOF1,19,11665140
cg23761196,CNOT1,16,58664510
cg23761264,PLCG1,20,39766409
cg23762517,HIVEP3,1,42384310
cg23764381,ATRNL1,10,116852687
cg23765993,SPINLW1,20,44176029
cg23767977,KRT71,12,52947465
cg23769143,SYN2;TIMP4,3,12200667
cg23771603,MYO3A,10,26223310
cg23771661,B3GNT3,19,17905332
cg23771929,FREQ,9,132934195
cg23772500,PSMD3,17,38137489
cg23772557,USP16,21,30397240
cg23773532,GPRC5D,12,13103216
cg23776012,KRT222,17,38821403
cg23776217,KIAA1328;C18orf10,18,34409391
cg23776892,MAGEA1,X,152485938
cg23777956,CREB3L3,19,4153671
cg23779106,DUSP12,1,161719820
cg23779331,ARRB2,17,4614312
cg23780937,GGCT,7,30544484
cg23780947,TMEM48,1,54304852
cg23786576,ATPAF1,1,47133596
cg23788167,ZFAND5,9,74979561
cg23790767,ELL3,15,44069451
cg23792364,C19orf6,19,1021362
cg23792978,PDE2A,11,72385698
cg23795623,CARKD,13,111268031
cg23796040,EFR3A,8,132952251
cg23797100,LAT,16,28996053
cg23799276,NUP210,3,13461652
cg23799313,PAQR7,1,26198360
cg23801057,P2RX7,12,121569969
cg23806715,H3F3B,17,73775811
cg23807009,MDM4,1,204485655
cg23807559,COG1,17,71189217
cg23807646,SLC26A8,6,35992685
cg23808301,PLD2,17,4710015
cg23812886,SSX5,X,48056290
cg23813257,IL32,16,3115286
cg23813564,MAGEC2,X,141293020
cg23815000,LCN1,9,138413012
cg23815491,HP,16,72088622
cg23816572,CEP68,2,65283421
cg23817637,CLRN3,10,129691429
cg23818978,AMICA1,11,118083239
cg23820285,PIP4K2A,10,23003250
cg23822915,CYB5R4,6,84569161
cg23824713,SERPINB5,18,61157738
cg23824815,ZNF333,19,14800772
cg23827867,SOX12,20,306044
cg23828212,MAN1A2,1,117910371
cg23828595,PRKG1,10,52833610
cg23829949,ZNF238,1,244214679
cg23830037,DRG2,17,17991318
cg23830326,ZC3H18,16,88637332
cg23832061,PPIL6;SMPD2,6,109761667
cg23833452,RAB32,6,146864752
cg23833896,CLN8,8,1711046
cg23834593,HNF4A,20,42983920
cg23835812,CHMP2B,3,87276149
cg23836174,VPREB3,22,24097035
cg23837897,COX11;STXBP4,17,53046270
cg23838179,ZNF592,15,85291191
cg23838531,TTC19;ZSWIM7,17,15902837
cg23839398,KLHDC4,16,87800492
cg23839680,CCT6A;PSPH,7,56118238
cg23841186,IGFBP6,12,53492662
cg23843505,MYBL2,20,42295420
cg23843812,C8orf86,8,38385977
cg23844090,TMEM42,3,44903617
cg23845507,CDC7,1,91966731
cg23845773,TAF10,11,6633739
cg23850212,ZFP28,19,57049857
cg23850272,ZFP112,19,44861241
cg23850377,LAPTM4A,2,20251576
cg23851011,S100A16,1,153585915
cg23854009,ZNF530,19,58111128
cg23854921,AFTPH,2,64751325
cg23855093,GPR128,3,100328713
cg23855121,TLR10,4,38784938
cg23855392,MTHFS,15,80189782
cg23855566,FAM73A,1,78245236
cg23855818,SLC41A2,12,105323396
cg23855989,AQP5,12,50355821
cg23858074,C6orf167;MIR548H3,6,97730720
cg23858360,TSPAN14,10,82213490
cg23858565,CTCF,16,67595703
cg23859078,C7orf30,7,23339092
cg23861715,CDC14B,9,99382235
cg23862908,C8orf37,8,96281399
cg23863670,CCL28,5,43411929
cg23864823,OAZ3;MRPL9,1,151736255
cg23865067,ARPP19,15,52860622
cg23865698,WFDC1,16,84327808
cg23866755,CNP,17,40119337
cg23867494,TNFRSF4,1,1150322
cg23867624,FOXC1,6,1610197
cg23868119,PTPLA,10,17659726
cg23871933,GINS2,16,85722399
cg23873703,KCNAB1,3,155838625
cg23874078,CEPT1;DRAM2,1,111682148
cg23877385,GCNT3,15,59908652
cg23877786,RPL13;SNORD68,16,89626662
cg23877831,NCAPD2;MRPL51,12,6603428
cg23878206,NUP62;ATF5;IL4I1,19,50431425
cg23879147,CCDC109A,10,74451659
cg23881601,C1orf66;ISG20L2,1,156698494
cg23881725,DLEC1,3,38080642
cg23881971,ZNF10,12,133706422
cg23882824,SON;GART,21,34914632
cg23886551,TMEM121,14,105992619
cg23886755,PHC2,1,33841166
cg23887102,TAAR6,6,132891034
cg23887396,SARM1,17,26699551
cg23888423,SEPT2;HDLBP,2,242254170
cg23889010,SLPI,20,43882990
cg23889021,CTDSP1,2,219264573
cg23889093,EIF1,17,39844656
cg23889771,ITGB1BP1;CPSF3,2,9563077
cg23894003,FBRS,16,30676444
cg23894058,KLK12,19,51537828
cg23894539,STARD3,17,37793518
cg23896056,LIN54,4,83932170
cg23897067,TMEM203;NDOR1,9,140100305
cg23898073,GFRA1,10,118032948
cg23900225,GJD4,10,35894222
cg23901896,,1,201976446
cg23902550,EEF1D;TIGD5,8,144681106
cg23904249,CCDC86,11,60608951
cg23905308,PER2,2,239196947
cg23906144,OVCA2;DPH1,17,1945509
cg23906291,PGAP3;ERBB2,17,37844223
cg23906760,UBL5,19,9938028
cg23909343,PPP2R5A,1,212457915
cg23909633,IL24,1,207070539
cg23910243,TGFB1I1,16,31484618
cg23910835,SFRP2,4,154710900
cg23911465,EIF2B2,14,75469330
cg23911972,C12orf44,12,52464081
cg23912721,HACL1;BTD,3,15642893
cg23912823,NAB2,12,57481903
cg23913400,ITGB4,17,73717552
cg23915008,RPS16,19,39926328
cg23915111,KIF14,1,200589553
cg23916158,MYBBP1A,17,4458473
cg23916751,PKD2,4,88929263
cg23916845,DFNB31,9,117268172
cg23916948,RAG1AP1,1,155108399
cg23917399,TNFAIP8,5,118691751
cg23918047,ARHGDIA,17,79828356
cg23918676,C1D,2,68290497
cg23919568,FAM32A,19,16296265
cg23920441,ATP1A3,19,42497879
cg23920917,CPSF6,12,69633052
cg23921534,POU3F4,X,82763247
cg23921699,CACNB3,12,49212561
cg23922081,SOX12,20,306359
cg23922454,LHX5,12,113910545
cg23922708,PARD6G,18,78005180
cg23922914,TGDS,13,95248439
cg23923462,PGAM1,10,99186006
cg23926526,MDM1,12,68726610
cg23926715,ZC4H2,X,64196278
cg23927367,THYN1;ACAD8,11,134122802
cg23933345,DCLRE1B;AP4B1,1,114447334
cg23934633,RNF113B;FARP1,13,98830146
cg23935746,CCNB1,5,68463041
cg23936476,BEX1,X,102319120
cg23938476,C6orf136,6,30615339
cg23940655,C14orf43,14,74227020
cg23941599,FEM1C,5,114880796
cg23943360,LDLR,19,11200146
cg23943801,RAB21,12,72149029
cg23947872,MTMR1,X,149862363
cg23948756,KLC1,14,104095636
cg23948874,EIF4G2,11,10830481
cg23950724,SYT10,12,33593177
cg23953133,LMNB1,5,126112875
cg23953396,GPRC5C,17,72427941
cg23953831,CD101,1,117544416
cg23957084,MRPL40;HIRA,22,19418954
cg23957424,TRAF6,11,36532056
cg23957915,RCOR2,11,63684911
cg23959705,TNFRSF9,1,8002302
cg23960723,ECHDC3,10,11783974
cg23963136,CD320,19,8372973
cg23964386,PTGR1,9,114362249
cg23966705,SPAG9,17,49198586
cg23967169,FAM19A4,3,68981503
cg23968383,ZNF572,8,125984927
cg23968678,MBOAT7;TSEN34,19,54693625
cg23970089,ATP5I,4,667564
cg23970338,TSFM,12,58176483
cg23970523,FKBP8,19,18654267
cg23970785,DEXI,16,11036526
cg23972869,RPL18;SPHK2,19,49123742
cg23973000,TSSK1B;MCC,5,112770527
cg23973566,FAM65B,6,24877729
cg23974202,CCNT2,2,135676486
cg23977670,H19,11,2016848
cg23978322,FHL5,6,97010439
cg23978557,PPIL6;SMPD2,6,109760819
cg23979923,C15orf58;CIB1,15,90777592
cg23983173,TMEM87A,15,42564634
cg23983340,CD46,1,207925461
cg23983449,GABARAP,17,7146757
cg23983884,DBN1,5,176900806
cg23984059,COPB1,11,14521548
cg23984434,GUCY1A2,11,106888656
cg23986186,BCYRN1;TAF1,X,70585545
cg23988310,SCG2,2,224467049
cg23989635,CDH1,16,68771203
cg23993660,PINK1,1,20959826
cg23995753,LY75,2,160760732
cg23996241,AP2B1,17,33914362
cg23996306,DARS,2,136743411
cg23998987,TBL3,16,2021791
cg24000099,DAGLB,7,6487512
cg24000189,FLOT1,6,30710425
cg24001070,TOP3A;SMCR8,17,18217642
cg24003306,MRPL36,5,1799717
cg24003542,MCC,5,112630684
cg24006341,ZCCHC13,X,73524029
cg24006361,EPN3,17,48610255
cg24008892,PMF1;SLC25A44,1,156182246
cg24009109,CCDC12,3,47018482
cg24009736,B4GALNT1,12,58026342
cg24010336,FBXO17,19,39467258
cg24010952,BDKRB2,14,96670862
cg24012034,ETNK1,12,22778485
cg24012157,DDX50,10,70661472
cg24012708,HDHD3,9,116138128
cg24012887,TRMT1;NACC1,19,13228900
cg24012925,SRXN1,20,633418
cg24014020,PIGQ,16,620796
cg24014661,TCTE1,6,44265669
cg24016044,CPEB4,5,173315549
cg24019564,RUNX3,1,25257566
cg24019851,SEMA3B,3,50314291
cg24022301,PTGFR,1,78956570
cg24022829,EIF2AK2,2,37384227
cg24023606,TDP1;C14orf143,14,90421208
cg24024214,BTNL8,5,180326142
cg24027342,ATM,11,108131609
cg24027679,SLC2A7,1,9086621
cg24028122,KIAA0776,6,96970001
cg24030425,PEX1;C7orf64,7,92157488
cg24030449,FGF20,8,16859671
cg24030609,CELA2B,1,15802611
cg24030627,FCGBP,19,40440416
cg24030630,TCIRG1,11,67806668
cg24031606,CDC25A,3,48229318
cg24034289,SCAMP3,1,155232344
cg24034992,YIPF6,X,67719066
cg24035370,PRKCZ,1,1982434
cg24035962,NCOA4,10,51572313
cg24038764,CXorf42,X,119379271
cg24041453,CCDC11,18,47792708
cg24041977,CERK,22,47133771
cg24041995,LIG3,17,33307399
cg24042452,CCT3;C1orf182,1,156305664
cg24043192,C5orf34,5,43515527
cg24043307,ATF1,12,51157954
cg24046110,LYNX1,8,143859143
cg24046474,RPL12;LRSAM1,9,130212550
cg24051818,C1orf175,1,55107918
cg24053375,RBP3,10,48392130
cg24053587,PTPRO,12,15476085
cg24053619,KIAA1841,2,61293272
cg24054653,C1GALT1C1,X,119763829
cg24056562,RNASEH2A,19,12917484
cg24056567,PSD3,8,18871909
cg24058120,MFI2,3,196756631
cg24058132,GALC,14,88459866
cg24059075,PRPH,12,49688316
cg24060938,CPA2,7,129907199
cg24063470,FOXC2,16,86600389
cg24068372,WDR86,7,151107261
cg24068708,GDPD5,11,75236459
cg24069559,HNRNPL,19,39342390
cg24070847,HIST2H2AC;HIST2H2BE,1,149858495
cg24073022,TAL2,9,108424034
cg24073051,CDV3,3,133291979
cg24073161,GGNBP2,17,34900233
cg24075743,PRM1,16,11375385
cg24076392,KLRAQ1,2,48667874
cg24076399,CST3,20,23618348
cg24076830,OR5V1,6,29325133
cg24076884,PCDHAC2;PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA1;PCDHA2;PCDHA9;PCDHA13;PCDHA5;PCDHAC1;PCDHA3,5,140346921
cg24077317,UBA3,3,69129461
cg24078828,WWTR1,3,149375789
cg24079455,C10orf137,10,127408106
cg24080529,SYN3;TIMP3,22,33197034
cg24081819,EPHX2,8,27348940
cg24082826,ITPR2,12,26985738
cg24084891,DCC,18,49868788
cg24085207,FLJ32065,17,62972338
cg24085258,CHAF1A,19,4402334
cg24087944,GABRD,1,1950111
cg24088229,SMU1,9,33076554
cg24088408,E2F1,20,32274875
cg24088438,FERMT3,11,63974229
cg24088639,PDHX;APIP,11,34937564
cg24088751,GTF2A2,15,59949482
cg24091474,TYROBP,19,36399185
cg24091698,ERCC4,16,14013720
cg24092253,YTHDF1,20,61848099
cg24092914,VHL,3,10184877
cg24098302,CTDSPL2,15,44719665
cg24098951,LRP12,8,105601036
cg24100167,PNLDC1,6,160221433
cg24101359,GNMT,6,42928495
cg24101388,SAGE1,X,134975643
cg24101578,CDH22,20,44880263
cg24101873,C20orf70,20,31755609
cg24102360,ZNF333,19,14801145
cg24103438,NLGN4X,X,6146608
cg24104611,C22orf9,22,45637132
cg24105685,CENPP;ECM2,9,95298969
cg24105933,HTRA3,4,8270795
cg24107142,HK2,2,75060355
cg24107581,POLR3B,12,106751417
cg24107665,ZNF696,8,144372932
cg24109894,PSMB2,1,36108212
cg24110050,TCTEX1D1,1,67217853
cg24110063,COX6A2,16,31439752
cg24110916,SPG21,15,65282490
cg24113449,ADRBK2,22,25961367
cg24115040,DLX5,7,96652375
cg24115571,FZD6,8,104310713
cg24115593,CCDC99,5,169010705
cg24115627,HSD3B7;SETD1A,16,30995245
cg24116028,LYPD4;DMRTC2,19,42348451
cg24116886,DEFB127,20,137877
cg24117442,SOCS2,12,93963504
cg24117468,P4HA2,5,131562848
cg24120841,THRB,3,24536562
cg24121001,TTC16;PTRH1,9,130478378
cg24121436,RTN1,14,60337690
cg24122922,TMEM90B,20,24449392
cg24123124,MRPS17,7,56019838
cg24124398,ACLY,17,40075096
cg24124789,IARS2,1,220268095
cg24124977,CCDC40;TBC1D16,17,78010277
cg24125648,SERINC4;C15orf63,15,44092606
cg24126851,DCHS1,11,6678143
cg24127874,HES6,2,239149859
cg24127989,IMPDH1,7,128049508
cg24130043,ZNF197,3,44666362
cg24132694,SNAPC2,19,7984945
cg24133115,PDE10A,6,166075520
cg24134767,HTR3A,11,113845638
cg24136586,ATG10,5,81268366
cg24137081,IQCC,1,32671413
cg24139421,SLC22A18AS;SLC22A18,11,2923578
cg24139739,EFNB1,X,68048818
cg24141135,MARS,12,57881924
cg24142014,PCGF1,2,74734760
cg24142106,PIP5K1B,9,71319485
cg24145210,NPM1,5,170814287
cg24146166,ZNF25,10,38265215
cg24147596,ARL14,3,160395420
cg24148044,KIAA0513,16,85061578
cg24150528,ZNF131,5,43125550
cg24154474,NIPA1,15,23086979
cg24155668,MAPK13,6,36098398
cg24158546,SCAND1,20,34542777
cg24160158,NUP160,11,47869488
cg24164563,FOXJ1,17,74136395
cg24165760,TRAF3,14,103243389
cg24166097,NPM3,10,103543259
cg24166628,TNNC1;NISCH,3,52488070
cg24167037,ITGB2,21,46340776
cg24167841,GPR182,12,57389041
cg24167928,UTP14C;ALG11,13,52598902
cg24169822,HOXA4,7,27170994
cg24169915,C14orf177,14,99177987
cg24170090,MPRIP,17,16945301
cg24170535,PXT1;KCTD20,6,36410553
cg24171152,ATP2B1,12,90051243
cg24172553,FAM187B,19,35720142
cg24173049,SLC16A13,17,6939795
cg24176037,TBPL1,6,134274008
cg24176563,EYA4,6,133562776
cg24178740,FEV,2,219850465
cg24181591,EIF5A,17,7211285
cg24182328,VMO1,17,4690628
cg24183173,BCOR,X,39962195
cg24183484,GGN,19,38878553
cg24183958,GRB10,7,50860173
cg24189717,EIF2B4;SNX17,2,27593355
cg24192663,HSPA6,1,161493011
cg24194132,B4GALNT4,11,368966
cg24194539,AIM1,6,106960065
cg24194775,NPR2,9,35791475
cg24196046,EIF2C3,1,36396054
cg24197445,ZBBX,3,167045873
cg24198678,DNASE1,16,3703304
cg24198840,NEU2,2,233897561
cg24199834,POU4F2,4,147560126
cg24200059,C17orf101;HEXDC,17,80375975
cg24202119,CAPSL,5,35938692
cg24204740,PGM3;RWDD2A,6,83903813
cg24205633,ACN9,7,96746928
cg24206256,MAT2B,5,162930188
cg24206694,JMJD5,16,27214687
cg24207176,ABCG2,4,89079587
cg24208172,CDS1,4,85504879
cg24208206,FYCO1,3,46036571
cg24210717,GPD1,12,50497827
cg24211388,AIF1,6,31582837
cg24211742,DDX51;NOC4L,12,132627896
cg24214470,SERPINF1,17,1665119
cg24215443,TCF21,6,134210598
cg24215727,ABCD3,1,94883469
cg24216294,ZNF623,8,144732501
cg24216701,CDX1,5,149545928
cg24216915,WDR18,19,984750
cg24217726,ASB14,3,57312921
cg24217877,,16,49378579
cg24219058,PCDH7,4,30721353
cg24219638,STX3,11,59523120
cg24219962,WBP4,13,41635860
cg24220122,ZNF322A,6,26659537
cg24222324,TNFSF11,13,43145414
cg24222435,N6AMT2,13,21347840
cg24229819,DUSP3,17,41856238
cg24229963,ZFAND1,8,82633648
cg24231716,OTP,5,76934501
cg24234277,C1orf124;EXOC8,1,231473324
cg24235037,PLA2R1,2,160919532
cg24235633,LOC440356;CDIPT,16,29875177
cg24236559,TEX261,2,71222339
cg24236938,DLK2,6,43424191
cg24237439,RANBP3L,5,36302094
cg24237576,DNASE1L2,16,2285775
cg24238205,FAM111A,11,58912174
cg24239808,BTD;HACL1,3,15641908
cg24240626,REG3A,2,79386720
cg24241455,KLHL20,1,173683938
cg24242194,STYXL1;MDH2,7,75677414
cg24242519,FAM49A,2,16846569
cg24243265,GSDMC,8,130799851
cg24243406,ZNF764,16,30569314
cg24244000,GABRG3,15,27670335
cg24247865,CHORDC1,11,89956517
cg24248317,C2orf18,2,26986379
cg24249486,ARHGAP6,X,11684119
cg24249775,KRT10;TMEM99,17,38978344
cg24250393,PRKCB,16,23846838
cg24251035,ZC3HAV1L,7,138721065
cg24252723,CNNM2,10,104678150
cg24254120,RFC3,13,34392869
cg24254206,QPCTL;SNRPD2,19,46196934
cg24256211,SAMD4A,14,55035215
cg24257768,C10orf84,10,120101984
cg24262376,SCNM1;LYSMD1,1,151137274
cg24262469,TIPARP;LOC100287227,3,156391694
cg24264578,OR2C1,16,3405902
cg24265806,FAM126A,7,23053737
cg24266238,PFN2,3,149689668
cg24266542,POLR3B,12,106752006
cg24267801,COX6C,8,100905507
cg24269276,SFRS1,17,56084441
cg24269657,F7,13,113759771
cg24269846,PRIM1,12,57146087
cg24270244,RBM7;C11orf71,11,114271111
cg24272559,FMO9P,1,166572716
cg24272907,RIMBP2,12,131002918
cg24273512,POPDC3,6,105628147
cg24274272,DNAI2,17,72278023
cg24274600,RHOBTB3,5,95066816
cg24275354,NDUFA10,2,240964415
cg24276445,CNR1,6,88854953
cg24276491,EAPP,14,35009492
cg24278076,PLS1,3,142340931
cg24278423,FOXA3;SYMPK,19,46367240
cg24283842,RPLP1,15,69745592
cg24284910,SNX14,6,86302808
cg24286301,GUCY2F,X,108725540
cg24286767,RNF181,2,85822592
cg24287460,CCDC48,3,128748026
cg24289167,POLR3A,10,79789219
cg24290574,CPA3,3,148583152
cg24291845,WBP2,17,73851885
cg24292612,DEFB1,8,6735472
cg24293567,C9orf98;C9orf9,9,135754124
cg24297976,WDR35,2,20189487
cg24298280,RNF217,6,125305108
cg24300924,SLMO1,18,12407808
cg24302095,GRB10,7,50861049
cg24304712,C1orf101,1,244624785
cg24304714,LCE1C,1,152779374
cg24305835,SDHB,1,17380585
cg24306924,GPT2,16,46918433
cg24307225,CSNK2A2,16,58231550
cg24309555,APOB,2,21266956
cg24310246,RAX2,19,3773172
cg24311282,SIGLEC11,19,50464887
cg24311382,CTGF,6,132272408
cg24313770,RRP15,1,218458267
cg24315815,PLSCR4,3,145969579
cg24315860,SRPK2,7,105029492
cg24317255,RGS17,6,153452233
cg24318412,ASH2L,8,37962972
cg24319545,H2AFV,7,44887278
cg24320643,ADAM17,2,9695596
cg24321030,SLC46A3,13,29292888
cg24322623,MYOD1,11,17740430
cg24323031,PAQR8,6,52227260
cg24323434,SERF2,15,44084878
cg24323726,ZBED2;CD96,3,111314186
cg24324379,IDH1,2,209119750
cg24325790,CCL23,17,34345392
cg24326142,CSF1,1,110453144
cg24329374,NIPSNAP3A,9,107510068
cg24329717,P2RX3,11,57106093
cg24329794,GRSF1,4,71704884
cg24330042,GSTT1,22,24384159
cg24330485,EEF1B2;NDUFS1,2,207023983
cg24331079,STAT4,2,192016205
cg24331162,SYT8,11,1855665
cg24332422,APC,5,112073686
cg24332433,SLC39A11,17,71088903
cg24333473,ZNF597;NAT15,16,3493428
cg24334790,ARL5A,2,152685205
cg24334879,NKTR,3,42642248
cg24334983,ANXA11,10,81965683
cg24335149,PLA2G5,1,20397074
cg24335895,COX7A1,19,36643771
cg24336531,ARL6IP5,3,69134303
cg24337809,BTG2,1,203274882
cg24338843,C1orf158,1,12806667
cg24340657,KRT24,17,38859934
cg24340926,RAB33A,X,129305036
cg24341129,BNC2,9,16727830
cg24341177,DIABLO,12,122710506
cg24341220,RETSAT;ELMOD3,2,85581729
cg24341236,BRCC3;MTCP1;MTCP1NB,X,154299853
cg24341536,SQSTM1,5,179247663
cg24341800,ACAT1,11,107992076
cg24341944,RSRC1,3,157827791
cg24342628,KDM1B;TPMT,6,18155101
cg24343515,PI4K2A,10,99400468
cg24345138,KLHL25,15,86337433
cg24345247,HIST1H4A,6,26021916
cg24345793,USP5;CDCA3,12,6960807
cg24346429,GNAS,20,57428032
cg24346637,UBL4B,1,110655292
cg24349555,HECA,6,139456526
cg24352530,ABCG2,4,89080423
cg24352688,TRAPPC2;OFD1,X,13751727
cg24352736,YIPF2;C19orf52,19,11040012
cg24353217,MYL2,12,111358188
cg24353466,RNF13,3,149530978
cg24353833,NRM,6,30658612
cg24354652,PTAFR,1,28502908
cg24355006,CSNK1G2,19,1969744
cg24355048,CTSG,14,25045028
cg24355174,C11orf60,11,118436523
cg24356544,OGDHL,10,50970863
cg24356797,UBA52,19,18682387
cg24357161,RCVRN,17,9810114
cg24358465,HIST1H2AG;HIST1H2BJ,6,27100860
cg24358529,PPIE,1,40204662
cg24362016,ZNF44,19,12406154
cg24362401,PIK3C3,18,39535226
cg24362726,SCLT1;C4orf33,4,130013618
cg24363955,C5orf23,5,32788467
cg24364574,PREX1,20,47443694
cg24365013,CLRN1;CLRN1OS,3,150691910
cg24365867,MRVI1,11,10715595
cg24371157,LOC282997;PDCD4,10,112631335
cg24371225,MGC42105,5,43192392
cg24371383,CEP55,10,95256104
cg24373308,BAG2,6,57036955
cg24373760,LGR5,12,71834237
cg24376537,DLG3,X,69665103
cg24377133,,8,144170375
cg24378421,MTMR9,8,11141365
cg24382521,C7,5,40908228
cg24384676,SLC25A21;LOC100129794,14,37641964
cg24385322,RELL2;HDAC3,5,141017773
cg24386906,DSE,6,116692844
cg24387380,GABRA5,15,27159158
cg24387818,POF1B,X,84634756
cg24388263,,19,4241983
cg24389347,C3orf22,3,126277693
cg24389359,CCDC63,12,111284228
cg24391122,SNAPC2,19,7986137
cg24392274,C9orf16,9,130921842
cg24392479,ASPSCR1,17,79934870
cg24392574,CALML5,10,5541423
cg24394865,MRPL11,11,66206319
cg24396745,HCN4,15,73660614
cg24399106,MGC45800,4,183065224
cg24399405,C16orf35,16,189577
cg24399529,MIR548H4;TMEM84,15,69373153
cg24400943,C11orf64,11,60383099
cg24401441,,20,21679843
cg24401912,STYK1,12,10826432
cg24402880,PLAC8,4,84035837
cg24403722,EGR3,8,22550720
cg24404909,INF2,14,105175111
cg24405636,ZNF526,19,42724150
